#masterid,F0design(GHz),F0measured(GHz),errF0measured(GHz),S31,errS31,Ql,errQl
247,232.658479,216.66114374491124,0.002472629328778945,0.20057377928998293,0.0013677299322433427,298.8016398368931,2.8819064228743314
222,233.590043,217.28237697095335,0.0012371226606224563,0.24236681156219678,0.0010346625292950878,374.86263460324,2.2630155872773456
371,234.057223,217.73772776574813,0.0026353236752235786,0.09789915881386536,0.0006417566404795391,270.8599798572614,2.511443229123537
197,234.525338,218.13897928166963,0.0014284476951784164,0.24481688907657098,0.001187111387759377,370.2157129562104,2.538605994949346
346,234.994388,218.53540943909718,0.0027037725342865357,0.08912050258799997,0.0006048449336016482,274.2412403585153,2.631928808404044
172,235.464377,218.9655992803582,0.0011657224507270075,0.182701833803524,0.0007199559710473486,370.1068087764312,2.062609982179335
321,235.935306,219.4349901112737,0.001859850735746887,0.11707259590593787,0.0006874940290533146,346.43157272558784,2.877085419382309
147,236.407176,219.8805424769751,0.0018443228234560087,0.1979911732957875,0.0010899406292048926,328.09523953106464,2.5539570500628126
296,236.879991,220.27712049835432,0.0021529682063253655,0.1399859241649231,0.0008267545774049507,302.0808299771116,2.5227648481631
122,237.353751,220.6647870284846,0.00140767075409116,0.21419292643187698,0.0009890703409519963,361.89470014315157,2.3631334363652976
444,237.828458,221.10965748574213,0.0014304731893669338,0.1457662368575087,0.0007055245057325996,374.109247959677,2.5609731273183938
271,238.304115,221.54877088866715,0.002563693213956673,0.1775439432023658,0.001161779817913809,282.79372862577026,2.6173887709939523
420,238.780723,221.9478677376883,0.0024128425265919863,0.13902001118970414,0.000913069850081692,302.12748784699636,2.8066670391468933
246,239.258285,222.30657901841383,0.0013190905129381082,0.22366845098868784,0.0010371582502691876,390.7982941973305,2.5630610978130455
395,239.736801,222.87486420879824,0.002417761326550921,0.13142459818382418,0.0008734447004251773,306.26491441522893,2.8781279061829657
221,240.216275,223.28160210587808,0.0015859183405422081,0.22707788834118142,0.001195425255084124,370.56560666447666,2.758732629329484
370,240.696708,223.6677017675109,0.0027618978853077014,0.1221878876101387,0.0008913112833068721,295.3428326258545,3.0465783982301433
196,241.178101,224.0463596145198,0.0016370073978968476,0.2153268597922793,0.0011027622231777879,350.5084282233776,2.538886567900711
345,241.660457,224.59762494236497,0.0016811303814943575,0.1736153721013436,0.0009207739524821205,354.2249706587594,2.656523321569802
171,242.143778,224.92736662232235,0.0016931583086036118,0.19685922614951293,0.0010653135853616702,359.4782921407009,2.7513042936582024
320,242.628066,225.30290422668702,0.0032338006531968033,0.07155942156834445,0.0005112734371772065,248.87269999613824,2.514518223365751
146,243.113322,226.20791097678577,0.005773353801516208,0.0960060139313708,0.0008924830364016495,182.1461308634613,2.3949729453004043
443,244.574921,227.17934463593542,0.002188665988557701,0.14932199605642638,0.0007977772028056956,277.3057604237078,2.0954000457191304
270,245.064071,227.62079487041734,0.0012737111918860926,0.2244351369536979,0.0009317974559775537,370.9143500818482,2.1775448289487525
419,245.554199,228.06388201436314,0.001674456618973465,0.1642466992279907,0.0007938445201450589,329.16150492957416,2.2499752267213005
245,246.045307,228.55565456769554,0.0015652710692707866,0.21068506016683186,0.000931094280741671,322.62456746334067,2.01625642532088
394,246.537398,228.99140269309828,0.0019581864017591643,0.13781348067194427,0.0006680562843633598,283.46807750310296,1.94348037985654
220,247.030473,229.3892482575765,0.00122069417210389,0.2182719252853492,0.0008141663812046558,350.4578568260133,1.8486493866480354
369,247.524534,229.92218965468007,0.0015810416225827714,0.14846444362418526,0.000631888364296889,309.4400398662399,1.8623937472125847
195,248.019583,230.3787709437929,0.0014942507340227147,0.2595266063300643,0.0012390377964396546,368.0118614883361,2.4846020105616646
344,248.515622,230.68565447121972,0.0014655311154172328,0.1822205287358749,0.0007905073540281216,341.45877741816787,2.0950265107911807
170,249.012653,231.02724833878614,0.0012251080770858936,0.28387699688848883,0.0010217309342150083,339.33912070609665,1.727155569406922
319,249.510679,231.63773098708788,0.0017625696962706564,0.17088151656627779,0.0006562881276716919,252.40107627690517,1.3710557514079666
145,250.0097,232.1103967415361,0.0009889800088190915,0.23137496817818326,0.0007141677868173358,362.19713871893987,1.5810004846242816
294,250.509719,232.5268217686577,0.001392420543368834,0.1599392857884364,0.000616494696892831,321.8265053508477,1.7542519630318185
120,251.010739,232.95671519008465,0.000942712621175404,0.17427614315153814,0.0004863741947364021,344.8310145839167,1.3610080931562734
